,Application order,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
829,1,14,1,4,6,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
830,1,11,1,4,4,1,1,0,0,0,6,8,6,11.666666666666666,0,6,10,6,11.0,13.9,0.79,0
831,1,10,1,1,1,0,1,0,0,0,6,12,0,0.0,0,5,10,0,0.0,7.6,0.32,0
834,1,7,1,12,6,1,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,7.6,0.32,0
836,3,7,1,4,5,1,1,0,0,0,5,10,3,13.333333333333334,0,5,9,4,10.75,8.9,3.51,0
839,1,9,1,4,11,1,1,0,0,0,5,5,5,13.8,0,5,7,5,12.4,9.4,-3.12,1
843,3,12,1,10,6,1,1,0,0,0,7,7,6,14.016666666666666,0,7,7,6,14.016666666666666,7.6,0.32,1
844,1,10,1,10,10,1,1,0,0,0,6,9,5,11.4,0,6,8,5,10.8,9.4,-3.12,1
847,1,9,1,10,10,0,1,0,0,0,5,11,3,10.666666666666666,0,5,9,4,10.25,11.1,2.02,1
850,6,12,1,2,2,1,1,0,0,0,7,9,7,13.761111111111113,0,8,11,7,12.82375,15.5,-4.06,1
852,1,10,1,10,10,1,1,1,0,0,6,7,6,13.857142857142858,0,6,6,6,14.166666666666666,10.8,1.74,1
853,1,12,1,10,10,0,1,1,0,0,8,8,7,13.842857142857143,0,8,8,7,13.842857142857143,12.7,-1.7,1
855,3,15,1,5,2,1,1,0,0,0,6,6,5,11.8,0,6,9,0,0.0,16.2,-0.92,0
856,1,10,1,5,4,1,1,0,0,0,6,6,6,12.666666666666666,0,6,6,6,13.833333333333334,10.8,1.74,0
857,1,4,1,10,11,0,1,0,0,0,6,6,0,0.0,0,6,6,0,0.0,11.1,2.02,0
858,4,7,1,5,7,1,1,0,0,0,5,7,0,0.0,0,5,5,0,0.0,7.6,0.32,0
859,1,15,1,1,4,0,1,0,0,0,6,11,4,10.75,0,6,13,2,10.0,7.6,0.32,0
860,2,7,1,6,5,1,1,0,0,0,5,7,5,12.6,0,5,9,3,13.25,13.9,0.79,0
865,4,12,1,5,11,1,1,1,0,0,7,7,7,14.682857142857143,0,8,9,8,15.055555555555555,12.4,1.79,1
866,1,7,1,12,12,0,1,0,0,0,3,3,0,0.0,0,5,0,0,0.0,10.8,1.74,0
867,1,7,1,4,8,0,1,1,0,0,5,6,0,0.0,0,5,7,0,0.0,12.4,1.79,0
868,1,11,1,5,6,0,1,0,0,0,6,7,6,13.857142857142858,0,6,7,5,12.8,16.2,-0.92,1
869,1,2,1,10,8,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,1
870,1,11,1,29,44,0,1,0,0,0,6,8,6,13.142857142857142,0,6,7,6,12.5,8.9,3.51,1
871,1,7,1,1,1,1,1,0,0,0,5,14,1,18.0,0,5,9,2,13.0,9.4,-3.12,0
874,1,4,1,32,45,0,1,0,0,0,6,6,5,15.0,0,6,8,4,14.5,8.9,3.51,1
875,1,12,1,10,10,0,1,1,0,0,7,9,7,14.244444444444444,0,8,12,8,12.233333333333333,15.5,-4.06,1
876,1,5,1,10,10,0,1,1,0,0,6,8,4,11.5,0,6,7,5,11.0,15.5,-4.06,0
877,2,13,1,5,6,0,1,1,0,0,7,7,2,10.0,0,7,7,0,0.0,15.5,-4.06,0
878,2,14,1,8,11,0,1,0,0,0,5,7,3,12.333333333333334,0,5,5,5,11.6,9.4,-3.12,1
880,2,5,1,10,9,1,1,1,0,0,6,6,6,13.666666666666666,0,6,7,5,13.2,12.4,1.79,1
881,1,2,1,3,6,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,1
884,2,12,1,5,10,1,1,1,0,0,8,12,7,12.599999999999998,0,8,12,7,12.599999999999998,10.8,1.74,1
886,6,15,1,1,1,1,1,0,0,0,6,6,6,13.166666666666666,0,6,6,6,13.0,7.6,0.32,1
888,1,12,1,5,8,0,1,1,0,0,7,7,7,14.014285714285714,0,8,8,8,15.35,13.9,0.79,1
889,3,15,1,10,6,0,1,1,0,0,6,9,4,13.0,0,6,13,4,11.25,10.8,1.74,1
890,2,15,1,10,10,1,1,0,0,0,6,6,6,14.0,0,6,6,6,14.666666666666666,10.8,1.74,1
892,1,12,1,10,10,1,1,1,0,0,8,8,7,14.428571428571429,0,8,8,7,14.428571428571429,12.7,-1.7,1
896,1,15,1,6,6,0,1,0,0,0,6,9,6,12.5,0,6,9,6,13.0,7.6,0.32,1
899,1,14,1,8,8,0,1,1,0,0,6,6,6,13.0,0,6,6,6,14.0,13.9,0.79,1
900,1,9,1,10,8,0,1,0,0,0,5,7,2,10.0,0,5,11,2,14.0,10.8,1.74,0
901,2,10,1,6,6,0,1,1,0,0,6,8,6,11.428571428571429,0,6,11,5,11.2,10.8,1.74,1
902,1,12,1,8,8,1,1,0,0,0,8,8,8,12.8875,0,8,8,8,12.8875,9.4,-3.12,1
903,2,12,1,10,5,1,1,1,0,0,7,7,6,12.95,0,7,7,6,12.95,7.6,0.32,1
904,2,9,1,10,10,1,1,0,0,0,5,12,1,10.0,0,5,5,0,0.0,12.7,-1.7,0
905,3,12,1,6,6,1,1,1,0,0,7,7,7,13.094285714285714,0,8,8,8,12.55,12.4,1.79,1
906,4,14,1,8,8,1,1,0,0,0,6,7,0,0.0,0,6,6,0,0.0,16.2,-0.92,0
907,2,10,1,8,7,1,1,1,0,0,6,12,5,11.714285714285714,0,6,11,6,11.0,12.7,-1.7,1
909,1,2,1,8,11,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,0
910,1,16,1,10,6,0,1,0,0,0,6,6,6,13.166666666666666,0,6,6,6,13.333333333333334,7.6,0.32,1
911,1,6,1,6,5,1,1,0,0,0,5,7,4,12.75,0,5,5,5,13.4,10.8,1.74,1
914,1,12,1,10,7,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,13.9,0.79,0
918,1,4,1,10,5,0,1,0,0,0,6,8,6,14.166666666666666,0,6,9,6,15.0,15.5,-4.06,1
922,6,10,1,5,3,1,1,0,0,0,6,8,4,11.75,0,6,8,4,12.25,9.4,-3.12,0
925,1,12,1,10,8,1,1,1,0,0,7,7,6,13.7,0,7,7,6,13.7,7.6,0.32,1
926,1,6,1,5,12,1,1,0,0,0,5,8,1,14.0,0,5,12,0,0.0,10.8,1.74,0
929,1,10,1,1,1,1,1,0,0,0,6,10,0,0.0,0,6,0,0,0.0,7.6,0.32,0
931,1,16,1,10,10,0,1,1,0,0,7,10,6,13.0,0,7,7,7,13.285714285714286,12.4,1.79,1
933,1,9,1,10,10,1,1,0,0,0,5,8,3,11.0,0,5,9,2,11.5,7.6,0.32,0
936,1,12,1,10,10,0,1,0,0,0,7,15,1,10.75,0,7,10,1,10.0,13.9,0.79,0
940,3,15,1,6,6,1,1,0,0,0,6,6,6,13.0,0,6,8,5,12.4,12.4,1.79,1
941,1,10,1,10,5,1,1,1,0,0,6,8,6,14.0,0,6,8,6,12.285714285714286,16.2,-0.92,1
943,1,6,1,10,11,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
944,1,13,1,10,8,1,1,1,0,0,7,7,7,15.285714285714286,0,8,8,8,16.075,12.4,1.79,1
945,2,11,1,8,8,1,1,0,0,0,6,6,6,13.166666666666666,0,6,6,6,12.666666666666666,11.1,2.02,1
946,1,9,1,4,4,0,1,0,0,0,5,7,5,13.6,0,5,11,5,12.833333333333334,16.2,-0.92,1
949,1,9,1,10,3,0,1,0,0,0,5,0,0,0.0,0,5,0,0,0.0,15.5,-4.06,0
952,1,4,1,5,9,0,1,0,0,0,6,7,6,13.571428571428571,0,6,6,6,12.666666666666666,12.4,1.79,1
953,5,12,1,2,11,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,9.4,-3.12,0
955,4,14,1,5,12,1,1,0,0,0,5,6,3,13.333333333333334,0,5,5,1,11.0,7.6,0.32,0
956,1,15,1,10,10,0,1,1,0,0,6,6,6,12.0,0,6,7,6,11.666666666666666,16.2,-0.92,1
957,3,15,1,10,5,1,1,0,0,0,6,6,6,12.5,0,6,7,5,13.0,12.4,1.79,1
958,1,9,1,6,6,1,1,1,0,0,5,6,5,13.2,0,5,6,5,12.666666666666666,16.2,-0.92,1
962,1,8,1,3,5,0,1,0,0,0,5,7,3,13.666666666666666,0,5,5,5,13.2,7.6,0.32,1
964,1,15,1,4,8,1,1,1,0,0,6,7,6,11.666666666666666,0,6,12,5,10.2,12.4,1.79,1
965,1,4,1,3,9,0,1,0,0,0,6,9,5,13.4,0,6,9,5,12.4,8.9,3.51,1
967,1,4,1,10,11,0,1,0,0,0,6,9,0,0.0,0,6,6,0,0.0,13.9,0.79,0
970,1,14,1,1,1,0,1,0,0,0,5,5,4,13.75,0,5,5,4,14.75,7.6,0.32,1
971,1,9,1,8,4,1,1,0,0,0,5,5,1,10.0,0,5,5,0,0.0,7.6,0.32,0
973,1,16,1,8,8,0,1,0,0,0,2,4,1,16.0,0,4,5,4,15.5,13.9,0.79,1
976,1,12,1,10,9,1,1,0,0,0,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,7.6,0.32,1
977,1,6,1,30,29,0,1,1,0,0,5,6,5,11.8,0,5,7,4,13.25,10.8,1.74,1
982,1,15,1,5,6,0,1,0,0,0,6,6,6,12.0,0,6,6,6,12.5,12.7,-1.7,1
984,1,9,1,3,11,0,1,0,0,0,5,8,2,10.0,0,5,8,1,16.0,7.6,0.32,0
985,1,12,1,4,4,0,1,0,0,0,8,8,7,13.714285714285714,0,8,8,7,13.714285714285714,12.7,-1.7,1
986,1,4,1,5,7,0,1,0,0,0,6,14,6,14.875,0,6,12,6,15.8,16.2,-0.92,1
987,1,5,1,6,1,1,1,0,0,0,6,7,5,10.8,0,6,6,0,0.0,7.6,0.32,0
988,1,10,1,4,5,1,1,0,0,0,6,11,3,12.0,0,6,12,2,10.0,11.1,2.02,0
990,1,12,1,10,3,1,1,0,0,0,7,7,7,14.728571428571428,0,8,11,8,16.327272727272728,16.2,-0.92,1
991,1,8,1,3,3,1,1,0,0,0,6,8,6,12.0,0,6,8,5,14.8,12.4,1.79,1
992,1,15,1,4,4,1,1,0,0,0,6,8,6,11.428571428571429,0,6,7,6,11.0,11.1,2.02,0
998,1,11,1,4,4,1,1,0,0,0,6,8,6,12.666666666666666,0,6,8,5,13.4,11.1,2.02,1
999,3,5,1,1,1,1,1,0,0,0,6,6,6,12.5,0,6,6,6,13.0,7.6,0.32,0
1000,3,5,1,6,6,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
1002,1,2,1,3,6,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,11.1,2.02,1
1003,2,9,1,8,8,1,1,1,0,0,5,8,5,11.2,0,5,5,3,11.0,12.4,1.79,1
1004,2,10,1,4,5,1,1,0,0,0,6,6,6,16.5,0,6,7,6,17.428571428571427,11.1,2.02,0
1005,1,6,1,6,6,1,1,0,0,0,5,9,3,13.666666666666666,0,5,5,5,12.0,12.7,-1.7,1
1006,6,12,1,10,7,1,1,1,0,0,8,8,7,15.228571428571428,0,8,8,7,15.228571428571428,12.7,-1.7,1
1008,1,12,1,6,6,0,1,1,0,0,8,8,7,14.428571428571429,0,8,8,7,14.428571428571429,12.7,-1.7,1
1009,3,14,1,4,4,1,1,0,0,0,6,8,6,13.875,0,6,7,6,13.714285714285714,11.1,2.02,1
1010,2,12,1,10,11,1,1,0,0,0,7,10,7,13.128,0,8,13,6,13.193333333333332,15.5,-4.06,1
1011,1,12,1,5,4,1,1,0,0,0,7,9,6,11.605,0,8,10,7,12.4125,16.2,-0.92,1
1012,1,9,1,5,6,0,1,1,0,0,5,5,5,14.6,0,5,8,5,12.0,12.7,-1.7,1
1013,2,15,1,5,6,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02,0
1014,2,9,1,29,28,1,1,1,0,0,5,6,5,11.8,0,5,6,5,11.6,8.9,3.51,1
1015,1,11,1,10,9,1,1,0,0,0,6,6,6,12.333333333333334,0,6,6,6,12.333333333333334,12.4,1.79,1
1016,1,9,1,10,10,1,1,1,0,0,5,5,4,11.0,0,5,5,0,0.0,11.1,2.02,0
1019,3,15,1,5,10,1,1,1,0,0,6,6,6,11.833333333333334,0,6,7,6,12.285714285714286,15.5,-4.06,1
1020,2,12,1,5,8,1,1,1,0,0,8,8,8,12.98125,0,8,8,8,12.98125,9.4,-3.12,1
1022,2,12,1,3,3,0,1,0,0,0,8,12,6,11.68,0,8,12,6,11.68,10.8,1.74,1
1023,1,5,1,10,10,0,1,0,0,0,6,6,6,14.5,0,6,7,6,13.5,11.1,2.02,1
1024,2,16,1,29,36,1,1,0,0,0,7,7,7,13.142857142857142,0,7,8,7,12.857142857142858,8.9,3.51,1
1026,1,6,1,5,12,0,1,0,0,0,5,6,5,14.2,0,5,7,5,11.8,7.6,0.32,1
1027,5,11,1,10,10,0,1,1,0,0,6,8,5,11.666666666666666,0,6,7,5,12.2,8.9,3.51,1
1028,2,12,1,10,5,1,1,0,0,0,7,8,7,13.175,0,8,8,8,14.875,13.9,0.79,1
1029,4,12,1,10,10,1,1,1,0,0,8,8,7,13.314285714285717,0,8,8,7,13.314285714285717,12.7,-1.7,1
1030,2,9,1,5,4,1,1,1,0,0,5,13,3,10.6,0,5,12,3,10.5,13.9,0.79,1
1032,1,15,1,9,9,0,1,0,0,0,6,7,6,13.428571428571429,0,6,7,6,14.142857142857142,13.9,0.79,1
1033,1,6,1,10,10,1,1,1,0,0,5,7,4,13.25,0,5,8,5,15.571428571428571,10.8,1.74,1
1034,1,5,1,8,8,1,1,0,0,0,6,6,2,13.0,0,6,6,0,0.0,12.4,1.79,0
1036,1,10,1,10,8,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02,0
1037,1,10,1,5,3,0,1,0,0,0,6,6,6,14.0,0,6,6,6,13.166666666666666,10.8,1.74,1
1040,4,5,1,5,6,1,1,0,0,0,6,8,5,11.8,0,6,7,5,10.4,16.2,-0.92,1
1041,6,12,1,10,8,0,1,1,0,0,8,8,7,12.791428571428572,0,8,8,7,12.791428571428572,10.8,1.74,1
1043,6,12,1,10,10,1,1,1,0,0,7,11,6,11.994444444444444,0,8,11,7,12.43142857142857,15.5,-4.06,1
1044,5,11,1,5,8,1,1,0,0,0,6,9,5,11.6,0,6,12,5,12.2,13.9,0.79,1
1046,3,15,1,3,11,1,1,0,0,0,6,8,6,13.166666666666666,0,6,7,6,13.166666666666666,10.8,1.74,0
1047,6,12,1,5,5,1,1,0,0,0,8,8,7,14.1,0,8,8,7,14.1,10.8,1.74,1
1048,1,12,1,10,7,1,1,1,0,0,7,8,6,12.396666666666668,0,8,9,7,12.94285714285714,11.1,2.02,1
1049,1,12,1,6,6,0,1,0,0,0,7,7,7,15.014285714285714,0,8,8,8,16.0875,12.4,1.79,1
1050,1,2,1,5,9,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,1
1051,2,12,1,5,8,1,1,0,0,0,7,8,7,14.05,0,8,8,8,15.1,13.9,0.79,1
1052,3,12,1,5,6,1,1,0,0,0,7,8,7,14.85,0,8,8,8,15.2,13.9,0.79,0
1053,1,6,1,3,3,1,1,0,0,0,6,10,6,13.0,0,6,19,5,13.0,12.4,1.79,1
1054,2,12,1,10,8,1,1,1,0,0,7,8,7,14.7875,0,8,8,8,15.8625,13.9,0.79,1
1055,1,12,1,6,8,0,1,1,0,0,7,7,7,13.7,0,8,9,7,14.671428571428574,12.4,1.79,1
1056,2,12,1,5,5,1,1,1,0,0,7,7,7,12.495714285714286,0,8,9,7,12.242857142857144,11.1,2.02,0
1057,1,12,1,2,8,0,1,0,0,0,7,7,6,14.566666666666668,0,7,7,6,14.566666666666668,7.6,0.32,1
1059,1,12,1,5,11,0,1,0,0,0,8,8,7,12.685714285714283,0,8,8,7,12.685714285714283,12.7,-1.7,1
1061,1,5,1,8,8,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
1063,1,12,1,5,5,0,1,0,0,0,8,8,8,14.445,0,8,8,8,14.445,9.4,-3.12,1
1066,6,12,1,6,7,1,1,1,0,0,7,7,6,13.416666666666666,0,7,7,6,13.416666666666666,7.6,0.32,1
1067,1,9,1,4,4,0,1,0,0,0,5,8,5,12.333333333333334,0,5,7,5,11.4,15.5,-4.06,1
1068,1,12,1,10,9,1,1,0,0,0,7,8,7,13.1,0,8,8,8,14.8125,13.9,0.79,1
1069,2,14,1,10,10,1,1,0,0,0,6,9,4,13.2,0,6,10,5,12.8,12.4,1.79,1
1070,1,12,1,5,5,1,1,1,0,0,8,8,8,14.75,0,8,8,8,14.75,9.4,-3.12,1
1073,1,6,1,2,12,0,1,0,0,0,5,6,4,13.75,0,5,8,5,14.857142857142858,7.6,0.32,1
1074,1,10,1,10,6,0,1,0,0,0,6,11,5,12.4,0,6,7,6,13.0,9.4,-3.12,1
1075,2,15,1,5,8,1,1,0,0,0,6,6,6,13.333333333333334,0,6,6,6,12.0,11.1,2.02,1
1077,1,11,1,6,10,1,1,0,0,0,6,8,4,12.5,0,6,11,1,14.0,7.6,0.32,0
1078,1,2,1,3,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,0
1079,2,12,1,5,10,1,1,1,0,0,7,8,6,13.533333333333331,0,8,9,7,13.614285714285714,12.4,1.79,1
1080,1,5,1,5,1,0,1,1,0,0,6,6,6,13.166666666666666,0,6,6,6,12.666666666666666,11.1,2.02,1
1081,2,11,1,10,10,1,1,1,0,0,6,9,5,13.2,0,6,8,5,11.0,12.4,1.79,1
1083,1,16,1,10,5,1,1,1,0,0,7,7,7,13.428571428571429,0,7,7,7,14.857142857142858,11.1,2.02,1
1085,2,8,1,3,2,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
1086,1,14,1,10,6,0,1,1,0,0,6,6,6,13.666666666666666,0,6,9,6,13.666666666666666,8.9,3.51,1
1087,1,15,1,18,16,0,1,0,0,0,6,6,5,11.0,0,6,6,6,13.166666666666666,16.2,-0.92,1
1090,1,8,1,5,6,0,1,0,0,0,5,7,4,12.0,0,5,6,5,12.0,7.6,0.32,1
1091,3,15,1,6,9,0,1,0,0,0,6,6,0,0.0,0,6,0,0,0.0,8.9,3.51,0
1092,3,10,1,1,8,1,1,0,0,0,6,14,5,11.0,0,6,6,6,11.666666666666666,7.6,0.32,1
1093,4,15,1,5,5,1,1,0,0,0,6,12,5,12.0,0,6,8,6,11.571428571428571,15.5,-4.06,0
1094,3,12,1,10,10,1,1,1,0,0,7,7,7,13.308571428571428,0,8,10,8,12.55,12.4,1.79,1
1097,1,11,1,10,10,1,1,0,0,0,6,10,5,12.2,0,6,8,4,11.25,9.4,-3.12,1
1098,1,15,1,6,4,0,1,1,0,0,6,7,6,12.666666666666666,0,6,6,6,12.833333333333334,10.8,1.74,1
1099,2,12,1,2,10,1,1,1,0,0,8,8,8,14.07125,0,8,8,8,14.07125,9.4,-3.12,1
1100,1,6,1,10,10,1,1,0,0,0,5,14,4,14.25,0,5,9,5,13.2,9.4,-3.12,0
1104,1,10,1,1,6,1,1,0,0,0,6,12,2,13.0,0,6,8,5,11.6,7.6,0.32,1
1105,4,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,0
1106,2,12,1,1,1,1,1,1,0,0,8,8,7,14.901428571428571,0,8,8,7,14.901428571428571,9.4,-3.12,0
1107,3,12,1,9,9,1,1,1,0,0,7,8,7,12.65,0,8,9,8,12.445555555555554,15.5,-4.06,1
1109,4,6,1,12,8,1,1,0,0,0,5,7,4,12.4,0,5,9,5,12.666666666666666,7.6,0.32,1
1110,1,4,1,7,7,0,1,0,0,0,6,7,6,12.0,0,6,7,6,12.666666666666666,12.4,1.79,1
1111,5,12,1,7,8,1,1,1,0,0,7,8,7,12.135714285714286,0,8,10,7,13.328571428571427,12.4,1.79,1
1114,1,12,1,10,8,0,1,1,0,0,7,12,6,13.766666666666666,0,8,10,7,14.051428571428572,15.5,-4.06,1
1115,1,12,1,10,8,1,1,0,0,0,8,8,8,13.11625,0,8,8,8,13.11625,9.4,-3.12,1
1117,1,12,1,10,6,0,1,0,0,0,7,9,6,12.7,0,8,8,7,13.571428571428571,13.9,0.79,1
1119,1,12,1,6,10,1,1,1,0,0,7,7,6,12.333333333333334,0,7,7,6,12.333333333333334,7.6,0.32,1
1121,3,14,1,6,6,0,1,0,0,0,5,6,5,13.333333333333334,0,5,6,5,13.2,7.6,0.32,1
1123,1,4,1,10,10,0,1,1,0,0,6,8,6,13.0,0,6,11,5,13.0,15.5,-4.06,1
1124,1,15,1,10,10,0,1,1,0,0,6,6,6,12.833333333333334,0,6,6,6,13.5,16.2,-0.92,1
1125,2,14,1,10,10,0,1,1,0,0,5,5,5,13.2,0,5,5,4,13.0,9.4,-3.12,1
1128,1,9,1,10,7,0,1,1,0,0,5,5,5,14.0,0,5,6,5,13.6,12.4,1.79,1
1129,5,12,1,6,9,1,1,1,0,0,8,8,7,12.114285714285714,0,8,8,7,12.114285714285714,12.7,-1.7,1
1130,3,12,1,8,8,1,1,1,0,0,8,8,8,13.05875,0,8,8,8,13.05875,9.4,-3.12,1
1133,1,12,1,10,6,0,1,1,0,0,7,7,7,14.071428571428571,0,8,8,8,15.1625,13.9,0.79,1
1136,3,5,1,10,10,1,1,1,0,0,6,6,6,14.0,0,6,8,6,13.625,10.8,1.74,1
1137,1,11,1,5,10,1,1,1,0,0,6,8,6,12.166666666666666,0,6,11,3,11.666666666666666,10.8,1.74,0
1138,4,12,1,4,4,1,1,0,0,0,8,8,7,13.297142857142855,0,8,8,7,13.297142857142855,10.8,1.74,1
1139,1,6,1,5,7,1,1,0,0,0,6,14,6,13.923076923076923,0,6,9,6,14.25,15.5,-4.06,1
1140,6,12,1,6,7,1,1,0,0,0,7,11,7,13.37,0,8,13,7,12.833333333333334,15.5,-4.06,1
1142,1,14,1,3,3,1,1,0,0,0,5,5,4,15.0,0,5,5,4,13.75,7.6,0.32,0
1143,1,16,1,10,6,0,1,1,0,0,6,6,6,13.333333333333334,0,6,7,6,12.571428571428571,12.7,-1.7,1
1149,1,12,1,5,5,0,1,0,0,0,8,8,7,13.485714285714284,0,8,8,7,13.485714285714284,12.7,-1.7,1
1150,1,5,1,5,6,0,1,1,0,0,6,6,6,12.0,0,6,8,6,11.285714285714286,8.9,3.51,1
1151,1,2,1,10,2,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,0
1154,3,12,1,8,8,1,1,0,0,0,8,11,7,13.258571428571427,0,8,11,7,13.258571428571427,10.8,1.74,1
1157,4,11,1,10,8,1,1,1,0,0,6,7,6,13.571428571428571,0,6,6,6,12.5,8.9,3.51,1
1159,1,9,1,4,10,1,1,1,0,0,5,7,5,14.2,0,5,7,5,13.285714285714286,11.1,2.02,1
1162,3,12,1,10,6,1,1,0,0,0,8,8,7,14.652857142857142,0,8,8,7,14.652857142857142,10.8,1.74,1
1167,2,15,1,1,1,0,1,0,0,0,6,9,6,12.333333333333334,0,6,11,5,13.0,7.6,0.32,1
1168,2,15,1,3,8,1,1,1,0,0,6,6,6,14.0,0,6,7,6,13.857142857142858,15.5,-4.06,0
1169,1,14,1,6,8,0,1,0,0,0,5,7,4,11.5,0,5,6,4,11.75,9.4,-3.12,1
1170,1,9,1,6,8,0,1,0,0,0,5,6,5,11.2,0,5,5,5,13.2,12.4,1.79,1
1171,4,12,1,5,4,1,1,1,0,0,8,8,7,15.07,0,8,8,7,15.07,10.8,1.74,1
1172,1,7,1,1,1,0,1,0,0,0,5,6,1,10.0,0,5,7,1,12.0,10.8,1.74,0
1174,1,14,1,10,10,1,1,0,0,0,6,11,4,13.0,0,6,11,4,12.6,12.7,-1.7,1
1175,4,11,1,6,6,1,1,0,0,0,6,7,4,11.0,0,6,7,3,11.25,16.2,-0.92,0
1176,2,10,1,6,7,1,1,0,0,0,6,8,6,13.571428571428571,0,6,11,5,12.166666666666666,9.4,-3.12,1
1178,1,12,1,10,10,0,1,0,0,0,7,13,3,11.833333333333334,0,7,14,2,10.0,16.2,-0.92,0
1179,1,13,1,10,10,0,1,1,0,0,7,11,7,12.625,0,8,11,8,12.5125,12.7,-1.7,1
1180,1,12,1,10,10,0,1,0,0,0,7,12,4,11.5,0,7,14,3,12.333333333333334,16.2,-0.92,0
1181,1,6,1,10,10,1,1,0,0,0,5,8,4,13.25,0,5,10,4,10.5,12.7,-1.7,1
1182,3,12,1,6,6,1,1,0,0,0,7,9,7,12.60625,0,8,12,6,11.9,12.4,1.79,1
1185,1,10,1,10,10,0,1,1,0,0,6,11,5,11.142857142857142,0,6,8,6,12.285714285714286,16.2,-0.92,1
1187,1,9,1,10,8,1,1,0,0,0,5,9,1,10.0,0,5,10,1,11.0,7.6,0.32,0
1188,1,11,1,6,8,1,1,0,0,0,6,8,6,11.666666666666666,0,6,10,4,11.5,13.9,0.79,1
1189,1,14,1,5,5,0,1,1,0,0,6,8,6,14.0,0,6,7,6,13.142857142857142,11.1,2.02,1
1190,2,8,1,1,1,0,1,0,0,0,5,9,0,0.0,0,5,9,0,0.0,10.8,1.74,0
1191,6,12,1,5,5,1,1,0,0,0,8,9,7,12.04142857142857,0,8,9,7,12.04142857142857,10.8,1.74,1
1192,1,2,1,8,8,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,1
1197,1,16,1,6,6,1,1,0,0,0,6,8,4,12.25,0,6,13,3,10.333333333333334,12.7,-1.7,0
1199,1,6,1,6,6,1,1,0,0,0,6,7,6,15.571428571428571,0,6,8,6,16.375,12.4,1.79,1
1200,1,8,1,5,5,0,1,0,0,0,6,7,6,15.571428571428571,0,6,7,6,14.714285714285714,11.1,2.02,1
1203,6,10,1,32,35,1,1,1,0,0,6,8,5,11.6,0,6,8,4,11.75,8.9,3.51,1
1205,1,9,1,2,10,0,1,0,0,0,5,9,3,12.0,0,5,11,4,13.625,10.8,1.74,1
1212,1,12,1,10,5,0,1,1,0,0,8,9,8,13.63,0,8,9,8,13.63,9.4,-3.12,1
1213,1,14,1,1,1,1,1,0,0,0,5,8,3,13.0,0,5,7,4,11.5,7.6,0.32,1
1215,1,12,1,4,8,0,1,1,0,0,7,7,7,16.9,0,8,9,8,16.37777777777778,16.2,-0.92,1
1216,4,10,1,6,9,1,1,0,0,0,6,10,5,12.0,0,6,11,4,12.0,16.2,-0.92,1
1218,2,12,1,5,11,1,1,0,0,0,8,8,7,12.764285714285714,0,8,8,7,12.764285714285714,10.8,1.74,1
1219,2,9,1,10,8,1,1,1,0,0,5,8,5,13.75,0,5,6,5,12.166666666666666,13.9,0.79,1
1220,2,2,1,4,5,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,12.4,1.79,0
1221,1,12,1,10,6,0,1,1,0,0,7,7,7,14.604285714285712,0,8,9,8,15.68333333333333,11.1,2.02,1
1224,3,12,1,8,8,1,1,1,0,0,8,8,8,13.57625,0,8,8,8,13.57625,9.4,-3.12,1
1225,1,10,1,8,8,1,1,1,0,0,6,7,6,15.142857142857142,0,6,6,6,15.833333333333334,12.7,-1.7,1
